Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976-11-30,38.599292559,42.717797107,30.463229258,41.332509324,20.624957548,22.335966248,27.290001018,28.811364899,33.899847253,30.188282893,28.157954423,35.253032786,30.003946384,35.874466617,39.525487791,38.515945276,34.905630636,39.061692347,27.57230605,29.776971416,16.470115828,26.235714512,28.766928741,41.668795633,33.467534071,31.674107964,34.8187888,31.894782851,25.823504802,23.424506232,32.371156033,23.608362714,30.247837987,48.230214382,33.842945455,42.474551,26.315385383,31.45369473,24.283617096,32.918672481,38.123436698,34.913801761,36.722803472,28.767386103,29.619023972,30.29235358,21.364110307,50.165771066,31.841969953,39.941963657
1976-12-31,38.846407212,43.374628865,30.671799344,41.694483141,21.038159737,22.718511939,27.278754151,29.067218086,33.847307124,30.128010797,28.037606444,35.890341597,30.261519424,36.297240376,39.886307929,39.006890698,34.9782045,39.359761134,27.652921697,30.082256631,16.569206192,26.564214704,29.045946853,41.882830573,33.808561942,32.078278239,35.303608233,32.093662966,26.076047525,23.344506037,32.856546185,23.684035168,30.635719628,48.994030823,33.965407481,42.659948919,26.852811158,32.288740703,24.39315694,33.019401975,38.296350551,35.113339304,37.155074104,29.199320021,29.816235975,30.450214008,21.597194269,50.523000969,32.387190401,40.456449897
1977-01-31,38.980384368,43.943179505,30.880464178,42.075941331,21.46191154,22.953877185,27.218924303,29.380550162,33.457742292,30.079153719,27.963030388,36.483890543,30.459246072,36.62668903,40.337705318,39.506449503,35.080321602,39.766725864,27.770550519,30.570492488,16.660592124,26.745916883,29.258512177,41.983218945,34.269403453,32.540361225,35.723747167,32.401293816,26.228622382,23.430038396,33.395572633,23.755568981,30.882545073,49.617964522,34.156223544,42.90009624,27.211823411,32.819013913,24.490032698,33.084197082,38.407964036,35.355073348,37.276789928,29.635206701,30.008094345,30.563326528,21.797182179,50.906485697,32.874905264,40.802253481
1977-02-28,38.973484903,44.377537785,31.072539173,42.533109538,21.959072683,23.055711974,27.215133871,29.710950803,32.776724119,30.106113265,27.930497345,37.00852019,30.718324215,36.840302821,40.79013805,39.916940427,35.305870749,40.176903645,27.942640673,30.966696405,16.761443401,26.844207788,29.407306066,42.062154978,34.933440026,33.040544093,35.986316107,32.869687241,26.292377233,23.732404533,33.981339289,23.80741722,30.877308802,50.165764039,34.41885439,43.173416482,27.417196779,33.011416535,24.633919817,33.106803027,38.507384615,35.709741839,37.569461626,30.011884919,30.184905626,30.680753508,21.938880989,51.152553846,33.333380134,41.068714507
1977-03-31,38.938292187,44.64897664,31.333117556,42.93586825,22.475490119,23.125713163,27.321245692,29.809317074,32.873746613,30.210919221,27.928801392,37.311640138,31.260902308,36.941782212,41.222055905,40.277271837,35.697760071,40.689090274,28.128737667,31.16665689,16.822601163,26.803628256,29.580143029,42.132789519,36.018716541,33.551290872,36.20281156,33.440699033,26.404452233,24.102416388,34.48608395,23.961076454,30.81365163,50.472040853,34.725096186,43.411701962,27.515970828,33.105087258,24.838279328,33.300296919,38.636137878,36.050942371,38.385785937,30.31529775,30.345910858,30.865989777,22.216164798,51.300486411,33.774348871,41.305177018
1977-04-30,39.053655461,44.802054949,31.59075906,43.215153475,22.994146532,23.29357275,27.585972624,29.803241717,34.61892528,30.353636292,27.979796993,37.592538195,31.878309797,37.080074352,41.658004116,40.591525327,36.291301103,41.180181968,28.417556453,31.212406362,16.862495663,26.819480394,29.884837669,42.394408432,37.471511742,34.057121544,36.343489998,34.000608976,26.469269652,24.333983067,34.867074118,24.203339722,30.889310219,50.5571114,35.17139698,43.632103695,27.726568908,33.19037055,25.176451182,33.706287201,38.918050053,36.5071735,40.025604528,30.636997177,30.526938555,31.053558562,22.684596984,51.462647293,34.147480042,41.507805455
1977-05-31,39.37169504,44.893233397,31.750438375,43.373057317,23.568765509,23.548900483,28.021425741,29.670372046,35.741437133,30.517274973,28.106845249,37.773112641,32.124283668,37.245779301,42.023191435,40.946119386,36.955849022,41.653887366,28.866509166,31.413352659,17.025253811,26.971052381,30.241287131,42.847270165,37.702186708,34.57604299,36.586388221,34.557510386,26.58315755,24.466274939,35.232566017,24.440946782,31.221456322,50.571444889,35.548614232,43.856609049,28.181022992,33.372740555,25.533008395,34.117990331,39.393600686,36.896259858,40.358047724,30.980275347,30.800406548,31.307002007,23.139244144,51.608363833,34.438835096,41.695191196
1977-06-30,39.849539349,44.921286422,31.947095493,43.597153806,24.125452376,23.911132924,28.508052851,29.558309254,35.195949287,30.691716444,28.301818472,37.904234873,32.061625941,37.599886794,42.34988386,41.533274553,37.519888956,42.144385805,29.42918431,31.720180377,17.210573913,27.236210812,30.596794041,43.358771916,36.769508572,35.149285074,36.874483095,35.13071936,26.732911861,24.561357233,35.645527095,24.522854227,31.525725616,50.551685241,35.820911575,44.336702176,28.816459292,33.676307014,25.762104761,34.362943351,39.9963411,37.25269102,39.33357631,31.385074681,31.126975906,31.571944492,23.55738058,51.705041385,34.775480034,42.011272374
1977-07-31,40.426818604,44.999114872,32.317616883,43.859499353,24.563006108,24.411760256,28.998568782,29.54641004,34.811738997,30.900772654,28.544404235,38.019506301,32.347327828,38.147747885,42.695290569,42.24072886,38.005830137,42.643186471,30.038509104,32.059107592,17.36666364,27.592539672,31.058225856,43.832516711,36.368983542,35.755031741,37.159211477,35.691975407,26.962642949,24.665748198,36.097764206,24.519326699,31.838937474,50.586918689,36.363157165,45.147800424,29.502910395,33.99361737,25.81227836,34.425638394,40.7262711,37.613908081,39.061811598,31.815953011,31.492486821,31.859784413,24.101017542,51.76297533,35.217594938,42.561384013
1977-08-31,40.949124126,45.218172896,32.75406743,44.157729711,25.08613404,24.979694584,29.558194932,29.693986962,34.775139456,31.050930658,28.810948448,38.16864421,32.877465731,38.693619278,43.10850987,42.826632129,38.407769602,43.081844746,30.589895326,32.293585751,17.442148801,27.875060996,31.596303725,44.235919639,36.683235226,36.426617672,37.522063899,36.213689306,27.260498724,24.828770055,36.550106261,24.556229939,32.190279746,50.747814989,37.11047259,46.037962128,30.117718131,34.189813583,25.891854163,34.419902251,41.389014818,37.915609564,39.319787465,32.203058637,31.847747749,32.108533794,24.712974306,51.844195199,35.709537537,43.38219397
