date,Austin_HPI
2012-04-30,160321.0
2012-03-31,160106.0
2012-02-29,159703.0
2012-01-31,160448.0
2011-12-31,160415.0
2011-11-30,160686.0
2011-10-31,161397.0
2011-09-30,162267.0
2011-08-31,162040.0
2011-07-31,160195.0
2011-06-30,158314.0
2011-05-31,157425.0
2011-04-30,157567.0
2011-03-31,157471.0
2011-02-28,158040.0
2011-01-31,157105.0
2010-12-31,156921.0
2010-11-30,155923.0
2010-10-31,156105.0
2010-09-30,155228.0
2010-08-31,156139.0
2010-07-31,156018.0
2010-06-30,156324.0
2010-05-31,155182.0
2010-04-30,155548.0
2010-03-31,155261.0
2010-02-28,155021.0
2010-01-31,154783.0
2009-12-31,154344.0
2009-11-30,153098.0
2009-10-31,150048.0
2009-09-30,148221.0
2009-08-31,146730.0
2009-07-31,148896.0
2009-06-30,151416.0
2009-05-31,154934.0
2009-04-30,156519.0
2009-03-31,157205.0
2009-02-28,157123.0
2009-01-31,156360.0
2008-12-31,156438.0
2008-11-30,157608.0
2008-10-31,160683.0
2008-09-30,163041.0
2008-08-31,164058.0
2008-07-31,162312.0
2008-06-30,159005.0
2008-05-31,155780.0
2008-04-30,153179.0
2008-03-31,153334.0
2008-02-29,153946.0
2008-01-31,155003.0
2007-12-31,154542.0
2007-11-30,154368.0
2007-10-31,153922.0
2007-09-30,153560.0
2007-08-31,153097.0
2007-07-31,152943.0
2007-06-30,153665.0
2007-05-31,153738.0
2007-04-30,153882.0
2007-03-31,152735.0
2007-02-28,152329.0
2007-01-31,153678.0
2006-12-31,156028.0
2006-11-30,157452.0
2006-10-31,156135.0
2006-09-30,154185.0
2006-08-31,153151.0
2006-07-31,152534.0
2006-06-30,152043.0
2006-05-31,151035.0
2006-04-30,150780.0
2006-03-31,150262.0
2006-02-28,149555.0
2006-01-31,147310.0
2005-12-31,145387.0
2005-11-30,143693.0
2005-10-31,143792.0
2005-09-30,144435.0
2005-08-31,144326.0
2005-07-31,144453.0
2005-06-30,144056.0
2005-05-31,145254.0
2005-04-30,145044.0
2005-03-31,144692.0
2005-02-28,142660.0
2005-01-31,140782.0
2004-12-31,138926.0
2004-11-30,138341.0
2004-10-31,137723.0
2004-09-30,137759.0
2004-08-31,137025.0
2004-07-31,136060.0
2004-06-30,134329.0
2004-05-31,131935.0
2004-04-30,129993.0
2004-03-31,128265.0
2004-02-29,127084.0
2004-01-31,126585.0
2003-12-31,125678.0
2003-11-30,124429.0
2003-10-31,123431.0
2003-09-30,121293.0
2003-08-31,120349.0
2003-07-31,119246.0
2003-06-30,119198.0
2003-05-31,118449.0
2003-04-30,117349.0
2003-03-31,116601.0
2003-02-28,117153.0
2003-01-31,117472.0
2002-12-31,117411.0
2002-11-30,116332.0
2002-10-31,115068.0
2002-09-30,114855.0
2002-08-31,114465.0
2002-07-31,114522.0
2002-06-30,114475.0
2002-05-31,115406.0
2002-04-30,116345.0
2002-03-31,116940.0
2002-02-28,116399.0
2002-01-31,115744.0
2001-12-31,115251.0
2001-11-30,115908.0
2001-10-31,116304.0
2001-09-30,116552.0
2001-08-31,116087.0
2001-07-31,115505.0
2001-06-30,115329.0
2001-05-31,114949.0
2001-04-30,115201.0
2001-03-31,115578.0
2001-02-28,115630.0
2001-01-31,114866.0
2000-12-31,113642.0
2000-11-30,112349.0
2000-10-31,112007.0
2000-09-30,111375.0
2000-08-31,111716.0
2000-07-31,111671.0
2000-06-30,111842.0
2000-05-31,110859.0
2000-04-30,109868.0
2000-03-31,108534.0
2000-02-29,109229.0
2000-01-31,110578.0
1999-12-31,112689.0
1999-11-30,113441.0
1999-10-31,113167.0
1999-09-30,111580.0
1999-08-31,109694.0
1999-07-31,107804.0
1999-06-30,105889.0
1999-05-31,105348.0
1999-04-30,105553.0
1999-03-31,105744.0
1999-02-28,104088.0
1999-01-31,101954.0
1998-12-31,99938.0
1998-11-30,98677.0
1998-10-31,97919.0
1998-09-30,98362.0
1998-08-31,98823.0
1998-07-31,99067.0
1998-06-30,99167.0
1998-05-31,98741.0
1998-04-30,97635.0
1998-03-31,96603.0
1998-02-28,96084.0
1998-01-31,95731.0
1997-12-31,95038.0
1997-11-30,94272.0
1997-10-31,93325.0
1997-09-30,92755.0
1997-08-31,91810.0
2024-05-31,259630.573159675
2024-04-30,258869.231762919
2024-03-31,258278.267847444
2024-02-29,258780.854597654
2024-01-31,259451.893526773
2023-12-31,260190.037162764
2023-11-30,259807.982991107
2023-10-31,259333.265759507
2023-09-30,258837.167897222
2023-08-31,258562.294243594
2023-07-31,257457.370763634
2023-06-30,256512.852629974
2023-05-31,255275.139925597
2023-04-30,255324.235607274
2023-03-31,255666.09547815
2023-02-28,257602.097699992
2023-01-31,259651.289413211
2022-12-31,261929.812987602
2022-11-30,263141.741614389
2022-10-31,264373.685560186
2022-09-30,265990.665158628
2022-08-31,268481.700050216
2022-07-31,269603.930832167
2022-06-30,269124.37070048
2022-05-31,266508.933771703
2022-04-30,263318.442707152
2022-03-31,259186.901845323
2022-02-28,254703.560142195
2022-01-31,251021.056268411
2021-12-31,247857.941684602
2021-11-30,245607.040800931
2021-10-31,243639.590756237
2021-09-30,242136.846383614
2021-08-31,240590.661678324
2021-07-31,237674.977238853
2021-06-30,233446.560276108
2021-05-31,228323.56586527
2021-04-30,223642.745445694
2021-03-31,219269.974608769
2021-02-28,215518.082895865
2021-01-31,211919.972569984
2020-12-31,208045.543472362
2020-11-30,204017.486178664
2020-10-31,199892.778757689
2020-09-30,196510.865712034
2020-08-31,193559.743595186
2020-07-31,191692.215461258
2020-06-30,190434.949756685
2020-05-31,189511.893561615
2020-04-30,188654.952367688
2020-03-31,188464.446389238
2020-02-29,188688.224995412
2020-01-31,188533.368155823
2019-12-31,187628.903892281
2019-11-30,185958.314043287
2019-10-31,184504.090753242
2019-09-30,183506.807577869
2019-08-31,183369.316312298
2019-07-31,182832.691150949
2019-06-30,182220.490418402
2019-05-31,181296.331561635
2019-04-30,180470.331112734
2019-03-31,179952.769131723
2019-02-28,179394.586290389
2019-01-31,178969.771614902
2018-12-31,177868.608946777
2018-11-30,176585.08695308
2018-10-31,175453.826549052
2018-09-30,174351.33850554
2018-08-31,172604.978407364
2018-07-31,170875.086535351
2018-06-30,169582.084206671
2018-05-31,169300.731612997
2018-04-30,168684.06336334
2018-03-31,167779.875528561
2018-02-28,166420.099546562
2018-01-31,165697.519433181
2017-12-31,165379.042689291
2017-11-30,165313.244999853
2017-10-31,164955.294328458
2017-09-30,164516.85908788
2017-08-31,163973.230153114
2017-07-31,163703.071299695
2017-06-30,163217.474939547
2017-05-31,162587.09769224
2017-04-30,161701.274602795
2017-03-31,160648.395669861
2017-02-28,159300.67169202
2017-01-31,158125.827183158
2016-12-31,157250.805209239
2016-11-30,156965.706338349
2016-10-31,156623.733010973
2016-09-30,156258.276971677
2016-08-31,156243.577700424
2016-07-31,156331.107008538
2016-06-30,156562.771651304
2016-05-31,156398.235915586
2016-04-30,156609.522022204
2016-03-31,157047.537026919
2016-02-29,157251.378717319
2016-01-31,156804.834712529
2015-12-31,156425.581627982
2015-11-30,156388.050910579
2015-10-31,156751.019202602
