Date,AK
2016-08-31,173.1425111
2016-09-30,172.9778925
2016-10-31,173.17492966
2016-11-30,173.57338971
2016-12-31,173.9057183
2017-01-31,174.184087
2017-02-28,174.55900397
2017-03-31,174.99451723
2017-04-30,175.33116295
2017-05-31,175.60548082
2017-06-30,175.83362427
2017-07-31,176.18202375
2017-08-31,176.52633944
2017-09-30,176.7857013
2017-10-31,176.85466238
2017-11-30,176.76144484
2017-12-31,176.75705344
2018-01-31,176.92510683
2018-02-28,177.13694959
2018-03-31,177.38490593
2018-04-30,177.58880495
2018-05-31,177.92783312
2018-06-30,178.1979147
2018-07-31,178.46588121
2018-08-31,178.80860798
2018-09-30,179.33297912
2018-10-31,179.77783188
2018-11-30,180.20998982
2018-12-31,180.73535942
2019-01-31,181.32679034
2019-02-28,181.86583775
2019-03-31,182.37575802
2019-04-30,182.45539411
2019-05-31,182.40999622
2019-06-30,182.30766024
2019-07-31,182.51354782
2019-08-31,182.64033689
2019-09-30,182.73899987
2019-10-31,182.96374642
2019-11-30,183.43264176
2019-12-31,183.87062356
2020-01-31,184.2722263
2020-02-29,184.72817302
2020-03-31,185.3601388
2020-04-30,186.07168178
2020-05-31,187.23533284
2020-06-30,188.4748306
2020-07-31,189.93837655
2020-08-31,191.27765916
2020-09-30,192.64201406
2020-10-31,194.17793865
2020-11-30,195.94929364
2020-12-31,197.39379022
2021-01-31,198.21600363
2021-02-28,198.57850853
2021-03-31,199.15545568
2021-04-30,199.75901723
2021-05-31,200.3519
